

"Alarm Records -- Query Alarm Logs"
"Save Time: 10/30/2013 10:17:04"
"User Name:khoand"
"
Occur in latest = 1hours.
Special status = NORMAL.
Time mode = NE time.
Log type = Generation log.
"

" ","Acknowledgement Status","Acknowledgement Time(ST)","Acknowledgement User","Additional Information","Alarm ID","Alarm Source","Arrive Time(ST)","Auto Clear","Clearance Status","Clearance Time(NT)","Clearance Type","Clearance User","Common Alarm Identifier","Equipment Alarm Serial Number","Link Name","Link Type","List Serial Number","Location Information","Log Serial Number","Log Type","Maintenance Region","MO Object","Name","NE Type","Object Instance Type","Occurrence Time(NT)","Operation Impact Flag","Severity","Special Status","Threshold Name","Type"
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:04:45,yes,Cleared,10/30/2013 09:04:48,normal clear, < NE operator > ,NA,672541,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285732,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:04:42,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:05:27,yes,Cleared,10/30/2013 09:05:36,normal clear, < NE operator > ,NA,672542,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285733,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:05:24,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:05:57,yes,Cleared,10/30/2013 09:06:00,normal clear, < NE operator > ,NA,672543,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285734,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:05:54,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:06:54,yes,Cleared,10/30/2013 09:06:57,normal clear, < NE operator > ,NA,672544,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285735,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:06:51,-,Major,NORMAL,-,Environment system
-,-,-,-,-,5326,BLATA1H/LATA11,10/30/2013 09:07:14,yes,Cleared,10/30/2013 09:16:13,normal clear, < NE operator > ,NA,103992,-,-,41208,"Site No.=10, Board Type=DDPU, Board No.=1, PassNo=255, SubLink No.=0, CellNo=65535, Site Type=BTS3012, RackNo=255, BoxNo=255, SlotNo=255, Site Name=LATA11",1285736,Generation log,-,LATA11,Level 1 VSWR Alarm,GBTS,-,10/30/2013 09:07:14,-,Major,NORMAL,-,Hardware system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:10:45,yes,Cleared,10/30/2013 09:10:48,normal clear, < NE operator > ,NA,672545,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285737,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:10:42,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:11:42,yes,Cleared,10/30/2013 09:11:45,normal clear, < NE operator > ,NA,672546,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285738,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:11:39,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:12:06,yes,Cleared,10/30/2013 09:12:09,normal clear, < NE operator > ,NA,672547,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285739,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:12:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65090,BLABL1H/LACD09,10/30/2013 09:12:25,yes,-,-,-,-,NA,672548,-,-,92444,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=2, Board Type=UPEU, Site No.=15, Site Type=BTS3900 GSM, Site Name=LACD09",1285740,Generation log,-,LACD09,BTS Mains Failure,GBTS,-,10/30/2013 09:12:21,-,Critical,NORMAL,-,Environment system
-,-,-,-,-,65091,BLABL1H/LACD12,10/30/2013 09:12:26,yes,-,-,-,-,NA,672549,-,-,78767,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=3, Board Type=UPEU, Site No.=49, Site Type=BTS3900 GSM, Site Name=LACD12",1285741,Generation log,-,LACD12,Generator Is Running,GBTS,-,10/30/2013 09:12:23,-,Critical,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:12:27,yes,Cleared,10/30/2013 09:12:39,normal clear, < NE operator > ,NA,672550,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285742,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:12:24,-,Major,NORMAL,-,Environment system
-,Acknowledged,10/30/2013 09:19:04,c6_ngocpa,-,65083,BLABL1H/LACD09,10/30/2013 09:12:34,yes,Cleared,10/30/2013 09:53:39,normal clear, < NE operator > ,NA,672551,-,-,92096,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=6, Board Type=UPEU, Site No.=15, Site Type=BTS3900 GSM, Site Name=LACD09",1285743,Generation log,-,LACD09,BTS AC Failure,GBTS,-,10/30/2013 09:12:30,-,Critical,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:12:54,yes,Cleared,10/30/2013 09:12:57,normal clear, < NE operator > ,NA,672552,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285744,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:12:51,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:13:16,yes,Cleared,10/30/2013 09:13:47,normal clear, < NE operator > ,NA,672553,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285745,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:13:14,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:13:30,yes,Cleared,10/30/2013 09:13:36,normal clear, < NE operator > ,NA,672554,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285746,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:13:27,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:14:01,yes,Cleared,10/30/2013 09:16:47,normal clear, < NE operator > ,NA,672555,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285747,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:13:59,-,Major,NORMAL,-,Environment system
-,-,-,-,-,20801,BLATA2H/LAHA01,10/30/2013 09:14:52,yes,Cleared,10/30/2013 09:17:17,normal clear, < NE operator > ,NA,281212,-,-,92445,"Site No.=102, Flash Alarm Parameter=(Alarm ID=5326,Site No.=102,Board Type=DDPU,Board No.=3,PassNo=255,SubLink No.=1,CellNo=65535,Site Type=BTS3012,RackNo=255,BoxNo=255,SlotNo=255,Site Name=LAHA01), Flash Alarm Accumulative Times=79, Flash Alarm Accumulative Duration=298",1285748,Generation log,-,LAHA01,BTS Statistical Alarm,GBTS,-,10/30/2013 09:14:51,-,Minor,NORMAL,-,Running system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:15:33,yes,Cleared,10/30/2013 09:15:39,normal clear, < NE operator > ,NA,672556,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285749,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:15:30,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:17:03,yes,Cleared,10/30/2013 09:19:14,normal clear, < NE operator > ,NA,672557,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285750,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:17:02,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:17:12,yes,Cleared,10/30/2013 09:17:15,normal clear, < NE operator > ,NA,672558,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285751,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:17:09,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:17:27,yes,Cleared,10/30/2013 09:17:33,normal clear, < NE operator > ,NA,672559,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285752,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:17:24,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:18:06,yes,Cleared,10/30/2013 09:18:09,normal clear, < NE operator > ,NA,672560,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285753,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:18:03,-,Major,NORMAL,-,Environment system
